Company,Job Role,Stipend,Location
SlideUpLift,Graphic Design,"₹ 8,000-12,000 /month",Pune
Pereyan LLP,General Management,"₹ 12,000-15,000 /month",Bangalore
OutreachMani,Social Media Marketing,"₹ 10,000 /month",Jaipur
Budding Mariners,Graphic Design,"₹ 2,000 /month",Work From Home
Digital Ipsum,Brand Ambassador,"₹ 10,000 /month",Work From Home
OutreachMani,Content Writing,"₹ 10,000 /month",Jaipur
Chrysalis Services,Field Studies (On Field Research) (Gujarati/Marathi),"₹ 10,000 /month",Pune
Analytics Jobs,Content Writing,"₹ 10,000 /month",Delhi
Smaclify Technologies,Human Resources (HR),"₹ 15,000 /month",Pune
People Staffing Solutions,Recruitment Consultant,"₹ 5,000-7,000 /month",Delhi
Alphanumeric Ideas Private Limited,Digital Marketing,"₹ 6,000 /month",Mohali
Internshala,Sales Operations,"₹ 18,000 /month",Gurgaon
WEMATTER PXT Limited,Video Editing/Making,"₹ 5,000 /month",Mumbai
Pro India,Social Work,"₹ 2,000 /month",Gurgaon
SR Edu Technologies,Content Creator,"₹ 5,000-15,000 /month",Hyderabad
Siddi Vinayaka Creative Labs,UI/UX Design,"₹ 10,000 /month",Hyderabad
Paduka Consultants Private Limited,Content Writing,"₹ 4,000-7,000 /month",Delhi
Faclon,UI/UX Design,"₹ 7,000-10,000 /month",Mumbai
Jarvics Technologies,UX/UI Design,"₹ 7,000-12,000 /month",Mohali
Prosperise Fortune LLP,UI/UX Design,"₹ 10,000 /month",Mira Bhayandar
One Root,Human Resource (Only Female),"₹ 8,000-12,000 /month",Bangalore
Dobby Ads,Product Photography,"₹ 15,000-20,000 /month",Delhi
Everstylish Lifestyle Private Limited,Social Media Marketing,"₹ 15,000 /month",Gurgaon
Digital Ipsum,Social Media Marketing,"₹ 4,000 /month",Work From Home
Made By India,Marketing & Sales,"₹ 6,000 /month",Noida
Friends Media,Financial Accountant,"₹ 12,000 /month",Delhi
Shankar J,Video Editing/Making,"₹ 7,000 /month",Work From Home
Ziegler Aerospace,Quote Analysis,"₹ 10,000 /month",Hyderabad
H S SABHARWAL & Co,Chartered Accountancy (CA),"₹ 3,000-5,000 /month",Dehradun
Pest Control All India,Sales Consultant,"₹ 8,000 /month +  Incentives",Mumbai
Gulshan Lamee Pack Private Limited,Executive Assistant,"₹ 10,000-15,000 /month",Delhi
Righteous Mind Infosystem Private Limited,Business Development (Sales),"₹ 4,000 /month +  Incentives",Delhi
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Gandhinagar
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Raipur
Sonia Bembi Seth,Digital Marketing,"₹ 15,000-20,000 /month",Delhi
WEMATTER PXT Limited,Business Development (Sales),"₹ 15,000 /month",Mumbai
Kan Media Planner,Business Development (Sales),"₹ 10,000 /month",Gurgaon
The Overseas Consultant,Customer Service/Customer Support,"₹ 5,000-7,000 /month",Mumbai
COSGrid Systems Private Limited,Human Resources (HR),"₹ 10,000-15,000 /month",Chennai
WEMATTER PXT Limited,Lead Generation,"₹ 15,000 /month",Mumbai
The Overseas Consultant,Student Counseling,"₹ 5,000-7,000 /month",Mumbai
Aurochs Software Private Limited,Human Resources (HR),"₹ 10,000 /month",Pune
WSC Events,Operations,"₹ 5,000-7,000 /month",Mumbai
Village Company,Marketing,"₹ 5,000 /month +  Incentives",Noida
SR Edu Technologies,Software Trainer,"₹ 5,000 /month +  Incentives",Hyderabad
String Digital Private Limited,Social Media Marketing,"₹ 5,000-8,000 /month",Delhi
Bilateral Solutions Private Limited,UI Development,"₹ 10,000 /month",Mandi
Breakout,Social Media Marketing,"₹ 6,000-8,000 /month",Bangalore
YourDOST Health Solutions,Customer Success,"₹ 12,000-15,000 /month",Karnataka
Hotkhana.com,Content Writing,"₹ 7,500 /month",Bangalore
OliveBoard Comptech Private Limited,Marketing,"₹ 4,500 /month",Dehradun
The Overseas Consultant,Administration,"₹ 5,000-7,000 /month",Mumbai
OliveBoard Comptech Private Limited,Market Research,"₹ 4,999 /month",Chennai
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Navi Mumbai
Dolphin Ad World Private Limited,Online Marketing,"₹ 12,000 /month",Mumbai
SR Edu Technologies,Auditing & Accounting,"₹ 10,000-20,000 /month",Hyderabad
Anandvan Greens,Executive Assistance,"₹ 10,000-20,000 /month",Chandigarh
A A Garg & Co,Auditing & Accounting,"₹ 10,000 /month",Mumbai
STEMonsters,Digital Marketing,"₹ 5,000 /month",Bangalore
ActiveLoc,Business Development (Sales),"₹ 11,000 /month",Bangalore
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Faridabad
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Ghaziabad
Even Cargo,Community Engagement,"₹ 5,000 /month",Chandigarh
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Noida
Sports For All,Data Entry,"₹ 5,000-10,000 /month",Mumbai
Sonetel,Regulations & Frauds - International Customer Service,"₹ 10,000 /month +  Incentives",Work From Home
Blue Sparrow Science Party,Teaching,"₹ 2,500 /week",Chandigarh
Gloval International,Digital Marketing,"₹ 8,000-12,000 /month",Mumbai
Ally Digital Media,Content Writing,"₹ 8,000 /month",Pune
The Overseas Consultant,Telecalling,"₹ 5,000-6,000 /month",Mumbai
Siddi Vinayaka Creative Labs,iOS App Development,"₹ 15,000 /month",Hyderabad
Ally Digital Media,Video Editing/Making,"₹ 8,000 /month",Nashik
Stayin Bangalore,Customer Relationship Management,"₹ 7,000 /month +  Incentives",Bangalore
Tring,Customer Relationship Management,"₹ 11,000 /month",Mumbai
Friends Union For Energising Lives (FUEL),Event Management,"₹ 8,000 /month",Pune
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Mumbai
Trade Brains,Hindi Content Writing,"₹ 10,000-12,000 /month",Bangalore
Siddi Vinayaka Creative Labs,QA Testing,"₹ 10,000 /month",Hyderabad
Jarvics Technologies,Cyber Security,"₹ 7,000-12,000 /month",Ambala
